iter	MultiClass
0	1.049091868
1	1.010984301
2	0.9789888408
3	0.9540260318
4	0.9328995737
5	0.9144486098
6	0.897424365
7	0.8821953235
8	0.8700121313
9	0.8585110108
10	0.8483972967
11	0.8365478394
12	0.8253104119
13	0.8154637988
14	0.8066187793
15	0.7990323477
16	0.790650287
17	0.7820759171
18	0.7751457909
19	0.7694119682
20	0.7650311984
21	0.759636808
22	0.7541703275
23	0.7480830843
24	0.7432245771
25	0.7395551362
26	0.7346969225
27	0.731457081
28	0.7279842309
29	0.7217074324
30	0.717205059
31	0.7150756223
32	0.7116255015
33	0.7088043825
34	0.7045538138
35	0.6995716852
36	0.6971520858
37	0.6953051437
38	0.6921383607
39	0.6885060068
40	0.6864154529
41	0.6848621016
42	0.6823414061
43	0.6798726644
44	0.6773858691
45	0.6749641191
46	0.6718480851
47	0.6681893522
48	0.6669062237
49	0.6654633184
50	0.6637472943
51	0.6603673807
52	0.6593721676
53	0.65769737
54	0.6552134811
55	0.6542712414
56	0.6532059246
57	0.6517957413
58	0.6507791437
59	0.6498316197
60	0.6465745526
61	0.6447844288
62	0.6435437743
63	0.6419312478
64	0.6410240581
65	0.6390217078
66	0.6368424082
67	0.6350511954
68	0.6342825439
69	0.6334696498
70	0.632368694
71	0.6316890342
72	0.6307528331
73	0.6295340781
74	0.6275068308
75	0.6257562519
76	0.6248865241
77	0.6234210311
78	0.6221487495
79	0.6204790266
80	0.6197587017
81	0.6192077542
82	0.6172934825
83	0.616632837
84	0.6155446073
85	0.6141388448
86	0.6131552888
87	0.6121011333
88	0.6113430371
89	0.6108969511
90	0.6090849324
91	0.6073185924
92	0.6069104017
93	0.6058696453
94	0.6054424229
95	0.604422712
96	0.6033505976
97	0.6025000496
98	0.6019776141
99	0.6016668874
100	0.5993763275
101	0.5989848749
102	0.5981561691
103	0.5977296074
104	0.597315341
105	0.5959355392
106	0.5951458867
107	0.5942723245
108	0.593549889
109	0.5925006164
110	0.5912316669
111	0.5908247051
112	0.5900564534
113	0.5887917091
114	0.5885228527
115	0.5872872909
116	0.5868458227
117	0.5862706218
118	0.5855962088
119	0.5845938521
120	0.5836357705
121	0.5832208033
122	0.5827554808
123	0.5824759433
124	0.5817670262
125	0.5806133425
126	0.579080426
127	0.5785795938
128	0.578105742
129	0.5774521878
130	0.5760297033
131	0.5757192935
132	0.5740645455
133	0.5737353151
134	0.5729723974
135	0.5725098409
136	0.5723173104
137	0.5718671664
138	0.5715210692
139	0.5701255618
140	0.5688783638
141	0.5680833662
142	0.5673084179
143	0.5661371447
144	0.5656161198
145	0.5649655898
146	0.5644285211
147	0.5638176036
148	0.5634723011
149	0.562994167
150	0.5626007856
151	0.5617132253
152	0.5609804536
153	0.5601008504
154	0.5598757816
155	0.5594306174
156	0.5590333579
157	0.5579481625
158	0.5575607585
159	0.5570926495
160	0.5568313246
161	0.5563478325
162	0.5561772923
163	0.555718114
164	0.5549520698
165	0.5545571705
166	0.554068564
167	0.5537381813
168	0.5530832806
169	0.5528337409
170	0.552536407
171	0.5514561775
172	0.5510256858
173	0.5506898365
174	0.5503847604
175	0.5500795373
176	0.5494425358
177	0.5492282524
178	0.548790373
179	0.5480804992
180	0.5478753814
181	0.5474557552
182	0.5467652581
183	0.5465145152
184	0.5459985094
185	0.5451762036
186	0.5444777856
187	0.5440923715
188	0.5437486526
189	0.5435083941
190	0.543209698
191	0.5427213991
192	0.5423944064
193	0.5420338946
194	0.5418210258
195	0.5410329504
196	0.5400744493
197	0.5395754712
198	0.5393160454
199	0.5390293842
200	0.5386320386
201	0.5383207991
202	0.5380824775
203	0.5377968728
204	0.5374814951
205	0.5372378761
206	0.5369461218
207	0.5364493663
208	0.5362963818
209	0.5359257414
210	0.535787502
211	0.535541016
212	0.5352175656
213	0.5346364192
214	0.5343369998
215	0.5340512186
216	0.5337071902
217	0.5330009855
218	0.5326667821
219	0.5323807682
220	0.5321047223
221	0.5319285682
222	0.5314797848
223	0.5308220258
224	0.5305318053
225	0.5304234635
226	0.5299728047
227	0.5298259594
228	0.529581112
229	0.5290895523
230	0.5287219838
231	0.5282104515
232	0.5279354116
233	0.5277612786
234	0.5275155813
235	0.5272142383
236	0.5267713113
237	0.526451642
238	0.5262500491
239	0.5260296664
240	0.5256859336
241	0.5255419006
242	0.5253373967
243	0.5251057473
244	0.524939155
245	0.5246764448
246	0.5244678065
247	0.524314894
248	0.5240371564
249	0.5238099081
250	0.5235276977
251	0.5230741541
252	0.5228053352
253	0.5225267868
254	0.5218852968
255	0.5216292061
256	0.5212662443
257	0.5210273891
258	0.5208094617
259	0.5206433539
260	0.5204725129
261	0.5202678342
262	0.5199911642
263	0.5197164517
264	0.5195204605
265	0.5192098177
266	0.5190530223
267	0.5188261067
268	0.5186308763
269	0.5184517222
270	0.5182491517
271	0.5177177795
272	0.517490692
273	0.5172912043
274	0.5168335737
275	0.5166387167
276	0.516440629
277	0.5159979558
278	0.5158146651
279	0.5157225129
280	0.515502092
281	0.5153110168
282	0.5150508449
283	0.5149083519
284	0.5146816876
285	0.5145535704
286	0.5143532282
287	0.5142150465
288	0.5140842069
289	0.5139098648
290	0.5137176378
291	0.5136169403
292	0.5133525673
293	0.5131297511
294	0.5128465442
295	0.5126591964
296	0.5123691488
297	0.5122367127
298	0.5120145724
299	0.5116230238
300	0.5114627433
301	0.5112998898
302	0.5110684188
303	0.5109382546
304	0.5108146458
305	0.5106599192
306	0.5104840765
307	0.5102706114
308	0.5100404937
309	0.50982522
310	0.5096631377
311	0.509411795
312	0.5092193904
313	0.5089450242
