iter	Passed	Remaining
0	73	73910
1	143	71783
2	213	70980
3	282	70239
4	346	68931
5	421	69823
6	498	70652
7	567	70374
8	631	69508
9	697	69098
10	771	69346
11	843	69432
12	914	69432
13	989	69706
14	1062	69753
15	1126	69305
16	1201	69483
17	1273	69489
18	1341	69244
19	1415	69345
20	1477	68864
21	1543	68633
22	1615	68609
23	1680	68358
24	1750	68262
25	1813	67930
26	1881	67800
27	1944	67504
28	2008	67265
29	2081	67301
30	2154	67342
31	2212	66929
32	2282	66893
33	2346	66669
34	2421	66759
35	2494	66789
36	2551	66413
37	2624	66434
38	2690	66299
39	2754	66111
40	2821	65984
41	2886	65828
42	2950	65675
43	3012	65460
44	3070	65171
45	3143	65193
46	3204	64969
47	3267	64797
48	3329	64628
49	3395	64519
50	3460	64384
51	3531	64388
52	3590	64148
53	3683	64534
54	3750	64436
55	3807	64188
56	3863	63920
57	3923	63729
58	3982	63514
59	4043	63347
60	4114	63334
61	4193	63436
62	4257	63328
63	4316	63134
64	4380	63015
65	4450	62980
66	4516	62899
67	4576	62726
68	4640	62614
69	4703	62486
70	4764	62347
71	4820	62137
72	4884	62030
73	4955	62008
74	5026	61993
75	5090	61890
76	5147	61706
77	5218	61688
78	5288	61657
79	5349	61516
80	5413	61414
81	5480	61356
82	5550	61318
83	5605	61124
84	5680	61144
85	5747	61086
86	5809	60965
87	5879	60935
88	5939	60796
89	6002	60695
90	6072	60662
91	6144	60647
92	6209	60559
93	6279	60518
94	6340	60398
95	6412	60382
96	6478	60314
97	6536	60162
98	6595	60026
99	6651	59862
100	6723	59846
101	6788	59761
102	6845	59616
103	6906	59498
104	6966	59378
105	7029	59283
106	7104	59294
107	7173	59246
108	7272	59451
109	7334	59343
110	7411	59356
111	7474	59260
112	7539	59178
113	7606	59114
114	7668	59015
115	7727	58885
116	7787	58769
117	7845	58641
118	7915	58604
119	7979	58515
120	8043	58434
121	8101	58307
122	8172	58273
123	8230	58145
124	8293	58053
125	8358	57975
126	8437	57997
127	8494	57870
128	8555	57768
129	8617	57672
130	8682	57597
131	8742	57486
132	8816	57472
133	8870	57327
134	8939	57277
135	8999	57171
136	9056	57050
137	9115	56940
138	9176	56843
139	9250	56822
140	9313	56738
141	9383	56694
142	9452	56647
143	9512	56548
144	9579	56486
145	9640	56387
146	9711	56354
147	9783	56324
148	9844	56226
149	9902	56112
150	9978	56101
151	10042	56024
152	10097	55900
153	10165	55844
154	10229	55768
155	10297	55711
156	10370	55681
157	10452	55701
158	10514	55611
159	10580	55546
160	10644	55470
161	10714	55423
162	10770	55304
163	10839	55254
164	10900	55165
165	10964	55086
166	11033	55034
167	11091	54927
168	11161	54884
169	11223	54797
170	11281	54690
171	11351	54645
172	11412	54553
173	11476	54479
174	11545	54429
175	11605	54336
176	11667	54250
177	11727	54155
178	11791	54083
179	11862	54038
180	11923	53951
181	11991	53893
182	12062	53852
183	12122	53760
184	12191	53709
185	12257	53641
186	12323	53577
187	12390	53514
188	12455	53448
189	12521	53381
190	12587	53313
191	12642	53202
192	12701	53108
193	12778	53088
194	12838	53000
195	12903	52930
196	12977	52897
197	13066	52925
198	13124	52827
199	13188	52752
200	13263	52725
201	13338	52694
202	13418	52682
203	13489	52636
204	13562	52595
205	13630	52537
206	13689	52444
207	13753	52368
208	13815	52287
209	13883	52227
210	13939	52122
211	13995	52021
212	14061	51956
213	14138	51930
214	14204	51863
215	14266	51781
216	14335	51725
217	14408	51685
218	14483	51649
219	14567	51648
220	14634	51585
221	14689	51479
222	14760	51430
223	14831	51380
224	14897	51312
225	14953	51212
226	15012	51122
227	15076	51048
228	15142	50980
229	15216	50941
230	15281	50873
231	15359	50845
232	15421	50764
233	15479	50673
234	15535	50574
235	15605	50519
236	15667	50440
237	15733	50374
238	15799	50306
239	15858	50217
240	15927	50163
241	15989	50082
242	16050	50001
243	16119	49943
244	16178	49855
245	16242	49782
246	16305	49708
247	16375	49654
248	16456	49632
249	16521	49564
250	16600	49537
251	16672	49488
252	16733	49405
253	16802	49349
254	16887	49338
255	16946	49251
256	17009	49175
257	17070	49093
258	17166	49113
259	17228	49035
260	17287	48948
261	17343	48853
262	17416	48804
263	17485	48747
264	17546	48666
265	17615	48608
266	17686	48554
267	17754	48493
268	17820	48427
269	17885	48357
270	17955	48301
271	18030	48256
272	18095	48189
273	18159	48116
274	18225	48049
275	18277	47945
276	18336	47860
277	18407	47807
278	18474	47742
279	18536	47664
280	18606	47609
281	18665	47524
282	18740	47479
283	18805	47409
284	18865	47328
285	18922	47240
286	18998	47198
287	19058	47117
288	19121	47043
289	19187	46976
290	19253	46908
291	19308	46817
292	19364	46725
293	19430	46660
294	19502	46608
295	19569	46544
296	19639	46487
297	19698	46404
298	19765	46340
299	19827	46263
300	19880	46168
301	19938	46083
302	20013	46037
303	20070	45950
304	20127	45863
305	20185	45780
306	20253	45717
307	20323	45662
308	20388	45594
309	20460	45540
310	20525	45472
311	20596	45418
312	20656	45338
313	20721	45269
314	20785	45199
315	20847	45125
316	20909	45051
317	20975	44985
318	21042	44920
319	21105	44849
320	21167	44775
321	21229	44699
322	21293	44630
323	21347	44540
324	21408	44463
325	21472	44394
326	21542	44335
327	21633	44321
328	21707	44272
329	21767	44195
330	21831	44124
331	21891	44046
332	21963	43993
333	22025	43918
334	22087	43845
335	22155	43782
336	22217	43709
337	22281	43640
338	22349	43577
339	22408	43499
340	22470	43425
341	22534	43355
342	22594	43279
343	22650	43193
344	22712	43120
345	22777	43053
346	22838	42978
347	22896	42898
348	22966	42839
349	23031	42771
350	23090	42694
351	23151	42619
352	23217	42554
353	23285	42493
354	23351	42427
355	23417	42362
356	23482	42294
357	23540	42215
358	23597	42133
359	23662	42066
360	23725	41996
361	23783	41917
362	23853	41858
363	23918	41791
364	23984	41726
365	24053	41665
366	24151	41655
367	24231	41614
368	24312	41575
369	24397	41542
370	24480	41504
371	24556	41455
372	24625	41394
373	24682	41312
374	24741	41235
375	24804	41164
376	24863	41087
377	24938	41037
378	24999	40962
379	25068	40900
380	25124	40819
381	25180	40736
382	25236	40655
383	25299	40584
384	25355	40502
385	25414	40425
386	25479	40358
387	25543	40290
388	25604	40217
389	25660	40135
390	25718	40057
391	25779	39983
392	25845	39918
393	25911	39853
394	25966	39770
395	26033	39708
396	26095	39636
397	26154	39560
398	26216	39489
399	26278	39417
400	26344	39351
401	26416	39295
402	26488	39240
403	26557	39178
404	26617	39104
405	26688	39046
406	26746	38969
407	26799	38885
408	26860	38813
409	26920	38738
410	26992	38682
411	27056	38615
412	27118	38544
413	27184	38478
414	27247	38409
415	27309	38338
416	27367	38261
417	27420	38179
418	27484	38110
419	27557	38055
420	27621	37987
421	27686	37921
422	27745	37846
423	27806	37775
424	27865	37700
425	27929	37632
426	27987	37556
427	28052	37490
428	28113	37419
429	28169	37341
430	28234	37274
431	28288	37194
432	28344	37116
433	28414	37056
434	28480	36992
435	28542	36922
436	28612	36862
437	28689	36811
438	28747	36737
439	28804	36660
440	28866	36590
441	28929	36522
442	28991	36452
443	29048	36375
444	29115	36312
445	29177	36242
446	29235	36168
447	29297	36099
448	29363	36033
449	29418	35956
450	29485	35892
451	29550	35826
452	29613	35758
453	29690	35706
454	29756	35641
455	29825	35581
456	29882	35505
457	29948	35441
458	30011	35373
459	30068	35297
460	30129	35226
461	30188	35154
462	30255	35091
463	30316	35020
464	30386	34960
465	30449	34893
466	30509	34820
467	30564	34744
468	30632	34682
469	30689	34606
470	30751	34537
471	30805	34460
472	30866	34390
473	30926	34318
474	30994	34257
475	31054	34186
476	31111	34111
477	31176	34046
478	31243	33983
479	31307	33916
480	31368	33846
481	31425	33772
482	31496	33713
483	31560	33647
484	31616	33572
485	31681	33506
486	31737	33431
487	31804	33368
488	31867	33300
489	31924	33227
490	31987	33160
491	32053	33095
492	32110	33022
493	32172	32953
494	32244	32896
495	32304	32825
496	32355	32746
497	32414	32674
498	32480	32610
499	32547	32547
500	32612	32482
501	32675	32414
502	32738	32348
503	32811	32291
504	32873	32222
505	32928	32147
506	32991	32080
507	33060	32018
508	33116	31945
509	33174	31873
510	33232	31801
511	33293	31732
512	33351	31661
513	33412	31591
514	33475	31525
515	33537	31457
516	33600	31390
517	33661	31322
518	33732	31262
519	33793	31194
520	33853	31124
521	33914	31056
522	33978	30989
523	34038	30920
524	34097	30849
525	34153	30777
526	34210	30705
527	34275	30639
528	34334	30570
529	34393	30499
530	34457	30434
531	34519	30366
532	34584	30301
533	34645	30233
534	34704	30163
535	34770	30099
536	34836	30035
537	34892	29963
538	34962	29903
539	35025	29836
540	35089	29770
541	35162	29712
542	35221	29642
543	35282	29574
544	35344	29507
545	35402	29436
546	35460	29367
547	35525	29301
548	35592	29239
549	35652	29170
550	35717	29105
551	35775	29035
552	35835	28966
553	35896	28898
554	35954	28828
555	36017	28762
556	36079	28695
557	36143	28629
558	36203	28561
559	36256	28487
560	36321	28422
561	36386	28358
562	36442	28286
563	36495	28212
564	36553	28143
565	36612	28074
566	36672	28005
567	36738	27941
568	36801	27875
569	36872	27815
570	36937	27751
571	37001	27686
572	37070	27625
573	37134	27559
574	37191	27489
575	37254	27423
576	37316	27356
577	37384	27294
578	37444	27226
579	37520	27170
580	37585	27105
581	37656	27045
582	37718	26978
583	37788	26917
584	37852	26852
585	37915	26786
586	37969	26714
587	38024	26643
588	38081	26572
589	38139	26503
590	38199	26435
591	38271	26376
592	38336	26312
593	38408	26252
594	38479	26192
595	38536	26121
596	38604	26059
597	38673	25997
598	38729	25927
599	38791	25861
600	38855	25796
